pressure,depth,temperature,Salinity,density,oxygen
120,119.306,21.5983,34.7608,1024.6707,1.98741
121,120.3,21.591,34.7602,1024.6766,1.98394
122,121.294,21.5604,34.7588,1024.6883,1.98917
123,122.288,21.4945,34.7575,1024.71,1.98682
124,123.282,21.3944,34.7567,1024.7414,1.99512
125,124.276,21.329,34.762,1024.7678,2.01959
126,125.27,21.2672,34.7579,1024.7861,1.99008
127,126.264,21.1493,34.7612,1024.8253,1.98557
128,127.257,21.1219,34.7636,1024.839,1.97723
129,128.251,21.121,34.7628,1024.843,1.97105
130,129.245,21.121,34.7623,1024.8469,1.97215
131,130.239,21.1212,34.7617,1024.8508,1.9872
132,131.233,21.1198,34.7614,1024.8552,1.98785
133,132.227,21.1189,34.7609,1024.8595,1.97821
134,133.221,21.1135,34.7599,1024.8645,1.98197
135,134.215,21.1062,34.7588,1024.87,1.96881
136,135.208,21.0967,34.758,1024.8763,1.96551
137,136.202,21.0898,34.758,1024.8826,1.98536
138,137.196,21.0856,34.7582,1024.8882,1.98695
139,138.19,21.0831,34.7578,1024.893,1.975
140,139.184,21.0759,34.7577,1024.8993,1.9739
141,140.177,21.0697,34.7573,1024.905,1.97443
142,141.171,21.0619,34.7558,1024.9103,1.97533
143,142.165,21.0524,34.7552,1024.9168,1.97475
144,143.159,21.0409,34.7545,1024.9238,1.97344
145,144.153,21.0305,34.7537,1024.9304,1.97134
146,145.147,21.0168,34.7534,1024.9382,1.97918
147,146.14,21.0101,34.7531,1024.9441,1.97703
148,147.134,21.0039,34.7525,1024.9498,1.97092
149,148.128,20.9878,34.7512,1024.9575,1.98323
150,149.122,20.9702,34.7526,1024.9677,1.97876
151,150.116,20.9752,34.7579,1024.9747,1.98473
152,151.109,20.9657,34.7574,1024.9813,1.99867
153,152.103,20.9322,34.7591,1024.9961,1.97813
154,153.097,20.8705,34.765,1025.0217,1.97054
155,154.091,20.802,34.7757,1025.0529,1.97134
156,155.084,20.7207,34.779,1025.0817,1.97643
157,156.078,20.6734,34.7759,1025.0966,1.9671
158,157.072,20.5971,34.7649,1025.1131,1.95251
159,158.066,20.4448,34.752,1025.1487,1.95698
160,159.06,20.3251,34.7555,1025.1878,1.96414
161,160.053,20.2084,34.7498,1025.2191,1.97219
162,161.047,20.0644,34.7566,1025.2669,1.97777
163,162.041,20.0528,34.7557,1025.2737,1.95826
164,163.034,20.044,34.7534,1025.2787,1.96048
165,164.028,19.9944,34.7496,1025.2933,1.97527
166,165.022,19.9143,34.745,1025.3153,1.98798
167,166.015,19.7394,34.7303,1025.3546,1.99163
168,167.009,19.4283,34.717,1025.4303,1.96754
169,168.003,19.2601,34.7152,1025.477,1.96393
170,168.997,19.0408,34.7087,1025.5329,1.97962
171,169.99,18.9078,34.7085,1025.5713,1.96502
172,170.984,18.8348,34.7031,1025.5902,1.94087
173,171.978,18.7628,34.7043,1025.6139,1.94674
174,172.971,18.6981,34.7018,1025.6328,1.9554
175,173.965,18.5634,34.6923,1025.6641,1.95582
176,174.958,18.412,34.6993,1025.7121,1.96274
177,175.952,18.384,34.6972,1025.7219,1.95875
178,176.946,18.3571,34.6949,1025.7313,1.96992
179,177.939,18.3113,34.6919,1025.7449,1.98297
180,178.933,18.2815,34.6936,1025.758,1.98356
181,179.927,18.2714,34.6927,1025.7643,1.96973
182,180.92,18.2674,34.6915,1025.7687,1.94809
183,181.914,18.2654,34.6905,1025.7728,1.95758
184,182.908,18.2432,34.6881,1025.7809,1.9772
185,183.901,18.2006,34.6896,1025.7971,1.96767
186,184.895,18.1916,34.6914,1025.8051,1.95774
187,185.889,18.1668,34.689,1025.8139,1.96106
188,186.882,18.1083,34.6883,1025.8323,1.96303
189,187.876,18.0883,34.6881,1025.8415,1.95986
190,188.869,18.0818,34.6884,1025.8477,1.94322
191,189.863,18.0778,34.6895,1025.854,1.9567
192,190.856,18.0683,34.689,1025.8603,1.95472
193,191.85,18.068,34.6951,1025.8695,1.9475
194,192.844,18.0707,34.6969,1025.8745,1.96349
195,193.837,18.0689,34.6971,1025.8795,1.96539
196,194.831,18.0717,34.6989,1025.8846,1.95826
197,195.824,18.0523,34.7009,1025.8953,1.95741
198,196.818,17.8865,34.6882,1025.9312,1.96883
199,197.811,17.5053,34.669,1026.0146,1.98967
200,198.805,17.3659,34.6847,1026.065,1.9762
201,199.798,17.2075,34.685,1026.108,1.97114
202,200.792,17.1428,34.6836,1026.127,1.97894
203,201.786,17.1346,34.684,1026.1337,1.97789
204,202.779,17.1342,34.6836,1026.1378,1.97727
205,203.773,17.133,34.6833,1026.1423,1.98467
206,204.766,17.126,34.6816,1026.1471,2.00155
207,205.76,17.1187,34.6809,1026.1527,2.00943
208,206.753,17.0494,34.6722,1026.1671,2.00687
209,207.747,16.9177,34.6627,1026.1958,1.99942
210,208.74,16.7705,34.6556,1026.2299,1.99373
211,209.734,16.4766,34.6403,1026.2922,1.99594
212,210.727,16.2627,34.6438,1026.3495,2.00798
213,211.721,16.127,34.6365,1026.3799,2.00997
214,212.714,15.9035,34.6226,1026.4254,2.01856
215,213.707,15.7263,34.6148,1026.4644,2.034
216,214.701,15.6403,34.6152,1026.4889,2.03707
217,215.695,15.6335,34.6124,1026.4926,2.02385
218,216.688,15.6294,34.61,1026.4961,2.03087
219,217.681,15.6228,34.608,1026.5005,2.03666
220,218.675,15.614,34.6064,1026.5057,2.03004
221,219.668,15.6097,34.6054,1026.5103,2.01295
222,220.662,15.6063,34.6047,1026.5149,2.00532
223,221.655,15.6008,34.6029,1026.5192,2.01909
224,222.649,15.5785,34.6003,1026.5268,2.02172
225,223.642,15.5468,34.5972,1026.536,1.99921
226,224.636,15.3446,34.5743,1026.5685,1.99841
227,225.629,14.9446,34.5697,1026.6589,2.00926
228,226.622,14.8411,34.5802,1026.6944,1.99435
229,227.616,14.8181,34.5778,1026.702,1.98906
230,228.609,14.805,34.5744,1026.7068,2.01125
231,229.602,14.7172,34.5669,1026.7247,2.01774
232,230.596,14.6499,34.5684,1026.7451,2.01253
233,231.589,14.6351,34.5666,1026.7514,1.99334
234,232.583,14.5856,34.5629,1026.7638,1.99385
235,233.576,14.539,34.5615,1026.7773,2.00859
236,234.569,14.4917,34.5592,1026.7903,1.99696
237,235.563,14.4129,34.5526,1026.8068,1.99148
238,236.556,14.2982,34.5516,1026.8353,2.00772
239,237.55,14.2259,34.5451,1026.8504,2.01906
240,238.543,14.1107,34.5402,1026.8757,2.02106
241,239.536,13.9975,34.5396,1026.904,2.00426
242,240.53,13.8928,34.5331,1026.9257,1.9976
243,241.523,13.7802,34.5269,1026.9492,2.00763
244,242.516,13.5694,34.5207,1026.9932,2.01712
245,243.509,13.5027,34.5217,1027.0124,2.01351
246,244.503,13.4759,34.5214,1027.0222,2.00392
247,245.496,13.4638,34.5203,1027.0283,2.00032
248,246.49,13.4576,34.519,1027.0331,1.99976
249,247.483,13.4415,34.5166,1027.039,2.01806
250,248.476,13.4226,34.5148,1027.046,2.01601
251,249.47,13.402,34.5142,1027.0542,2.01065
252,250.463,13.3909,34.5138,1027.0607,1.99801
253,251.456,13.3785,34.5116,1027.066,1.99272
254,252.449,13.3436,34.5108,1027.0771,2.00536
255,253.443,13.3254,34.5095,1027.0843,2.00519
256,254.436,13.2787,34.5053,1027.0952,2.01038
257,255.429,13.1995,34.4977,1027.1101,2.00331
258,256.422,12.9947,34.4949,1027.1544,2.00765
259,257.416,12.9538,34.4981,1027.1697,2.0001
260,258.409,12.9274,34.4961,1027.178,1.97437
261,259.402,12.9118,34.4948,1027.1846,1.99214
262,260.396,12.9017,34.494,1027.1905,2.00076
263,261.389,12.8964,34.4933,1027.1955,1.99405
264,262.382,12.8806,34.4915,1027.2018,1.99748
265,263.375,12.8649,34.4913,1027.2093,1.99829
266,264.368,12.857,34.4901,1027.2144,1.99079
267,265.362,12.8474,34.4898,1027.2205,1.98558
268,266.355,12.8349,34.4888,1027.2267,1.98376
269,267.348,12.8029,34.4883,1027.2374,1.96691
270,268.341,12.7829,34.4882,1027.2458,1.95495
271,269.335,12.7726,34.4882,1027.2523,1.96378
272,270.328,12.7642,34.4875,1027.2579,1.95472
273,271.321,12.7468,34.4873,1027.2657,1.93954
274,272.314,12.7348,34.4873,1027.2726,1.95103
275,273.307,12.6681,34.4803,1027.2851,1.94712
276,274.301,12.4009,34.4681,1027.3336,1.95947
277,275.294,11.8698,34.4458,1027.4249,1.97867
278,276.287,11.5794,34.4609,1027.4971,1.96584
279,277.28,11.4718,34.4592,1027.5208,1.94177
280,278.273,11.4019,34.4569,1027.5368,1.95071
281,279.266,11.3597,34.4543,1027.5472,1.96097
282,280.259,11.3342,34.4521,1027.5548,1.95039
283,281.253,11.3241,34.4515,1027.5607,1.92591
284,282.246,11.3203,34.4505,1027.5652,1.92029
285,283.239,11.3196,34.4493,1027.5689,1.91492
286,284.232,11.3195,34.4481,1027.5724,1.90462
287,285.225,11.3196,34.4475,1027.5764,1.90106
288,286.218,11.3197,34.4467,1027.5803,1.89699
289,287.211,11.3197,34.4461,1027.5842,1.89548
290,288.205,11.3195,34.4456,1027.5884,1.8978
291,289.198,11.3196,34.4452,1027.5925,1.87692
292,290.191,11.3199,34.4446,1027.5965,1.86775
293,291.184,11.32,34.4443,1027.6007,1.84897
294,292.177,11.3181,34.4439,1027.6052,1.84982
295,293.17,11.3174,34.4436,1027.6095,1.86524
296,294.163,11.3146,34.4432,1027.6143,1.86449
297,295.156,11.3136,34.4432,1027.6189,1.83956
298,296.149,11.3089,34.4428,1027.624,1.81959
299,297.142,11.3082,34.4426,1027.6285,1.82118
300,298.136,11.2955,34.441,1027.6341,1.81463
301,299.129,11.2745,34.4417,1027.643,1.81319
302,300.122,11.2615,34.4418,1027.6501,1.8133
303,301.115,11.2581,34.4412,1027.6547,1.81111
304,302.108,11.2447,34.4402,1027.661,1.80034
305,303.101,11.1917,34.4376,1027.6734,1.7932
306,304.094,11.0427,34.4308,1027.7004,1.78802
307,305.087,10.9035,34.4293,1027.7296,1.78767
308,306.08,10.8113,34.4315,1027.7527,1.77578
309,307.073,10.7924,34.4305,1027.7599,1.77899
310,308.066,10.7876,34.4293,1027.7644,1.7687
311,309.059,10.7851,34.4284,1027.7686,1.75802
312,310.052,10.7826,34.4278,1027.7731,1.75594
313,311.045,10.7812,34.4272,1027.7774,1.75111
314,312.038,10.7756,34.4266,1027.7825,1.73945
315,313.031,10.7774,34.426,1027.7861,1.73906
316,314.024,10.7657,34.4257,1027.7925,1.72787
317,315.017,10.765,34.4251,1027.7967,1.72601
318,316.01,10.7605,34.4248,1027.8017,1.70867
319,317.003,10.733,34.423,1027.8099,1.7062
320,317.996,10.7201,34.4235,1027.8171,1.70145
321,318.989,10.7064,34.4226,1027.8234,1.69667
322,319.982,10.6967,34.4214,1027.8287,1.68988
323,320.975,10.627,34.4169,1027.8424,1.6846
324,321.968,10.5805,34.4189,1027.857,1.67627
325,322.961,10.5664,34.4194,1027.8645,1.6768
326,323.954,10.5545,34.4187,1027.8706,1.67683
327,324.947,10.4212,34.4219,1027.9016,1.68042
328,325.939,10.3249,34.4322,1027.9316,1.68439
329,326.932,10.3142,34.4313,1027.9372,1.66199
330,327.925,10.2979,34.4308,1027.9442,1.65682
331,328.918,10.2701,34.4312,1027.9541,1.65603
332,329.911,10.2401,34.4316,1027.9642,1.64534
333,330.904,10.2052,34.4334,1027.9764,1.6338
334,331.897,10.1874,34.434,1027.9845,1.6295
335,332.89,10.1723,34.4347,1027.9922,1.62587
336,333.883,10.1651,34.4345,1027.9979,1.61624
337,334.876,10.1574,34.4348,1028.004,1.59747
338,335.869,10.1508,34.4339,1028.0089,1.59859
339,336.861,10.1195,34.435,1028.0198,1.5919
340,337.854,10.0989,34.4365,1028.0292,1.58528
341,338.847,10.0844,34.4374,1028.0369,1.57933
342,339.84,10.0799,34.4375,1028.0423,1.5742
343,340.833,10.0694,34.4368,1028.0481,1.5667
344,341.826,10.0591,34.4363,1028.0541,1.56182
345,342.819,10.0527,34.4365,1028.0598,1.56074
